"File","Sheet","Year","Competition","Pos.","Athlete","Round1","X.1","Round2","X.2","Tot.","X10","X9","Sex","Age","Style","Hits","Golds","Round_type"
"1aterside_Archers_Indoor_T_2021.xlsx","IQWR","2021","Waterside_Archers_Indoor_Tournament_WA18","3","JAMES Mollie","239","2","259","3","498","12","23","W","","R",NA,"35","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQWJR","2021","Waterside_Archers_Indoor_Tournament_WA18","1","EDWARDS Rebecca","234","1","234","1","468","14","11","W","Junior","R",NA,"25","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMC","2021","Waterside_Archers_Indoor_Tournament_WA18","1","MILLER Lee","287","1","284","1","571","31","29","M","","C",NA,"60","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMC","2021","Waterside_Archers_Indoor_Tournament_WA18","2","LOCK Brian","279","2","279","2","558","20","38","M","","C",NA,"58","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMC","2021","Waterside_Archers_Indoor_Tournament_WA18","3","GRIFFITHS Steve","265","3","271","3","536","8","43","M","","C",NA,"51","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQWC","2021","Waterside_Archers_Indoor_Tournament_WA18","1","LOADER Vicky","291","1","286","1","577","37","23","W","","C",NA,"60","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQWC","2021","Waterside_Archers_Indoor_Tournament_WA18","2","BROWN Hannah","256","2","280","2","536","16","40","W","","C",NA,"56","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMJC","2021","Waterside_Archers_Indoor_Tournament_WA18","1","DAVIS Luke","283","1","289","1","572","32","28","M","Junior","C",NA,"60","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQWJC","2021","Waterside_Archers_Indoor_Tournament_WA18","1","BRUGUIER Isabella","278","1","275","1","553","18","37","W","Junior","C",NA,"55","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMB","2021","Waterside_Archers_Indoor_Tournament_WA18","1","HOLDER Alan","239","1","229","1","468","7","14","M","","B",NA,"21","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMB","2021","Waterside_Archers_Indoor_Tournament_WA18","2","CAM Nigel","204","2","218","2","422","7","11","M","","B",NA,"18","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMB","2021","Waterside_Archers_Indoor_Tournament_WA18","3","MORRIS Stephen","201","3","199","3","400","1","6","M","","B",NA,"7","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMB","2021","Waterside_Archers_Indoor_Tournament_WA18","4","WOMBWELL Steve","183","4","197","4","380","3","2","M","","B",NA,"5","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMB","2021","Waterside_Archers_Indoor_Tournament_WA18","5","READHEAD John","166","5","190","5","356","3","3","M","","B",NA,"6","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQWB","2021","Waterside_Archers_Indoor_Tournament_WA18","1","CAM Jennifer","217","1","207","1","424","0","17","W","","B",NA,"17","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMJB","2021","Waterside_Archers_Indoor_Tournament_WA18","1","GAUNTLET Reece","164","1","186","1","350","0","0","M","Junior","B",NA,"0","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMR","2024","Llantarnam_Archery_Club_Single_WA18","1","DAVIS Rich","225","1","250","1","475","8","13","M","","R",NA,"21","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMR","2024","Llantarnam_Archery_Club_Single_WA18","2","WHITE Joshua","207","2","217","2","424","7","11","M","","R",NA,"18","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWR","2024","Llantarnam_Archery_Club_Single_WA18","1","COURQUIN Helen","262","1","248","1","510","15","17","W","","R",NA,"32","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWU21R","2024","Llantarnam_Archery_Club_Single_WA18","1","STAMP Lidia","246","1","249","1","495","8","19","W","U21","R",NA,"27","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWU21R","2024","Llantarnam_Archery_Club_Single_WA18","2","KLICZKA Maja","228","2","209","2","437","8","15","W","U21","R",NA,"23","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQM50+R","2024","Llantarnam_Archery_Club_Single_WA18","1","BROWN Neil","246","1","248","1","494","9","22","M","50","R",NA,"31","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQM50+R","2024","Llantarnam_Archery_Club_Single_WA18","2","HALE Leigh","226","2","230","2","456","5","20","M","50","R",NA,"25","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQW50+R","2024","Llantarnam_Archery_Club_Single_WA18","1","TWIST Carolyn","231","1","210","1","441","5","14","W","50","R",NA,"19","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMC","2024","Llantarnam_Archery_Club_Single_WA18","1","LANE Tom","287","1","291","1","578","38","22","M","","C",NA,"60","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMC","2024","Llantarnam_Archery_Club_Single_WA18","2","WILLIAMS Colin","282","2","284","3","566","26","34","M","","C",NA,"60","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMC","2024","Llantarnam_Archery_Club_Single_WA18","3","PINDER Ryan","282","2","283","4","565","26","33","M","","C",NA,"59","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMC","2024","Llantarnam_Archery_Club_Single_WA18","4","REES Ioan","277","6","287","2","564","25","34","M","","C",NA,"59","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMC","2024","Llantarnam_Archery_Club_Single_WA18","5","TEML Rikki","279","4","281","6","560","23","34","M","","C",NA,"57","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMC","2024","Llantarnam_Archery_Club_Single_WA18","6","MURPHY William","276","8","282","5","558","22","34","M","","C",NA,"56","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMC","2024","Llantarnam_Archery_Club_Single_WA18","7","EDWARDS Steve","278","5","278","7","556","17","42","M","","C",NA,"59","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMC","2024","Llantarnam_Archery_Club_Single_WA18","8","PINDER Paul","274","9","277","8","551","14","43","M","","C",NA,"57","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMC","2024","Llantarnam_Archery_Club_Single_WA18","9","CHAMPION Wayne","277","6","274","9","551","13","45","M","","C",NA,"58","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWC","2024","Llantarnam_Archery_Club_Single_WA18","1","A'BEAR Chloe","282","2","287","1","569","30","29","W","","C",NA,"59","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWC","2024","Llantarnam_Archery_Club_Single_WA18","2","SERVINI Rhiannon","284","1","280","3","564","24","36","W","","C",NA,"60","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWC","2024","Llantarnam_Archery_Club_Single_WA18","3","BASSETT Louise","280","3","280","2","560","21","38","W","","C",NA,"59","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWC","2024","Llantarnam_Archery_Club_Single_WA18","4","TEML Debbie","276","4","275","4","551","14","43","W","","C",NA,"57","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMU16C","2024","Llantarnam_Archery_Club_Single_WA18","1","THOMAS Dylan","255","1","242","1","497","2","34","M","U16","C",NA,"36","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMU14C","2024","Llantarnam_Archery_Club_Single_WA18","1","PINDER George","206","1","209","1","415","3","16","M","U14","C",NA,"19","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQW50+C","2024","Llantarnam_Archery_Club_Single_WA18","1","BURFITT Pauline","280","1","285","1","565","25","35","W","50","C",NA,"60","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQW50+C","2024","Llantarnam_Archery_Club_Single_WA18","2","THOMAS Clare","276","2","277","2","553","19","35","W","50","C",NA,"54","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMB","2024","Llantarnam_Archery_Club_Single_WA18","1","KETCHLOVE John","204","1","224","1","428","6","10","M","","B",NA,"16","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMB","2024","Llantarnam_Archery_Club_Single_WA18","2","JONES David Del","51","2","104","2","155","0","0","M","","B",NA,"0","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWB","2024","Llantarnam_Archery_Club_Single_WA18","1","WHITISH Aubrey","148","1","160","1","308","1","5","W","","B",NA,"6","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWB","2024","Llantarnam_Archery_Club_Single_WA18","2","HAINES Nia","142","2","79","2","221","2","3","W","","B",NA,"5","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWU21B","2024","Llantarnam_Archery_Club_Single_WA18","1","SUMMERS Emily","232","2","232","1","464","9","10","W","U21","B",NA,"19","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWU21B","2024","Llantarnam_Archery_Club_Single_WA18","2","PLOWMAN Isabel","238","1","225","2","463","7","15","W","U21","B",NA,"22","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMU15B","2024","Llantarnam_Archery_Club_Single_WA18","1","OWEN Steffan Raynor","216","1","226","1","442","6","13","M","U15","B",NA,"19","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQMU14B","2024","Llantarnam_Archery_Club_Single_WA18","1","BOWDEN Sam","252","1","252","1","504","11","18","M","U14","B",NA,"29","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWU14B","2024","Llantarnam_Archery_Club_Single_WA18","1","LETHBRIDGE Jessica","246","1","241","1","487","8","17","W","U14","B",NA,"25","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQM50+B","2024","Llantarnam_Archery_Club_Single_WA18","1","MCDERMOTT David","202","1","209","1","411","3","9","M","50","B",NA,"12","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQML","2024","Llantarnam_Archery_Club_Single_WA18","1","JOHNS Ieuan","174","1","140","1","314","3","3","M","","L",NA,"6","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWL","2024","Llantarnam_Archery_Club_Single_WA18","1","KRASKER Judy","141","1","133","1","274","3","4","W","","L",NA,"7","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQWU21L","2024","Llantarnam_Archery_Club_Single_WA18","1","CURRAN Grace","178","1","172","1","350","3","5","W","U21","L",NA,"8","WA18"
"1lantarnam_Archery_Club_Si_2024.xlsx","IQW50+L","2024","Llantarnam_Archery_Club_Single_WA18","1","STICKINGS Linda","50","1","79","1","129","1","2","W","50","L",NA,"3","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMR","2024","World_Record_Status_WA18","1","ENGLISH Chris","265","1","262","2","527","14","27","M","","R",NA,"41","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMR","2024","World_Record_Status_WA18","2","ENGLISH Chris","259","4","266","1","525","9","34","M","","R",NA,"43","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMR","2024","World_Record_Status_WA18","3","LOGUE Matthew","265","2","256","3","521","11","31","M","","R",NA,"42","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMR","2024","World_Record_Status_WA18","4","LOGUE Matthew","263","3","253","4","516","13","25","M","","R",NA,"38","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMR","2024","World_Record_Status_WA18","5","STAFFORD Jordan","189","5","180","5","369","5","10","M","","R",NA,"15","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMR","2024","World_Record_Status_WA18","6","BLOXHAM Allen","173","6","0",NA,"173","3","4","M","","R",NA,"7","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWR","2024","World_Record_Status_WA18","1","CONDON Orlaith","267","1","263","1","530","16","27","W","","R",NA,"43","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWR","2024","World_Record_Status_WA18","2","CONDON Orlaith","246","2","257","2","503","19","16","W","","R",NA,"35","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMU18R","2024","World_Record_Status_WA18","1","MCKINNEY Ethan","263","2","273","1","536","21","23","M","U18","R",NA,"44","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMU18R","2024","World_Record_Status_WA18","2","MCKINNEY Ethan","264","1","263","2","527","14","27","M","U18","R",NA,"41","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+R","2024","World_Record_Status_WA18","1","WRIGHT David","275","1","270","2","545","20","29","M","50","R",NA,"49","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+R","2024","World_Record_Status_WA18","2","WRIGHT David","268","2","275","1","543","22","27","M","50","R",NA,"49","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+R","2024","World_Record_Status_WA18","3","PATRICK John","257","3","263","3","520","18","19","M","50","R",NA,"37","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+R","2024","World_Record_Status_WA18","4","PATRICK John","252","4","257","4","509","11","21","M","50","R",NA,"32","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+R","2024","World_Record_Status_WA18","5","GRIFFIN George","219","5","251","5","470","10","18","M","50","R",NA,"28","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+R","2024","World_Record_Status_WA18","6","GRIFFIN George","179","6","179","6","358","4","8","M","50","R",NA,"12","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWU15R","2024","World_Record_Status_WA18","1","BLOXHAM Claudia","193","1","168","2","361","3","6","W","U15","R",NA,"9","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWU15R","2024","World_Record_Status_WA18","2","BLOXHAM Claudia","158","2","176","1","334","2","5","W","U15","R",NA,"7","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWU15R","2024","World_Record_Status_WA18","3","LUNNEY Erin","100","3","149","3","249","1","3","W","U15","R",NA,"4","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMC","2024","World_Record_Status_WA18","1","WILSON Darrel","294","1","291","1","585","45","15","M","","C",NA,"60","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMC","2024","World_Record_Status_WA18","2","WILSON Darrel","292","2","290","2","582","42","18","M","","C",NA,"60","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWU18C","2024","World_Record_Status_WA18","1","JENNINGS Katie","275","1","275","1","550","13","44","W","U18","C",NA,"57","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWU18C","2024","World_Record_Status_WA18","2","MURRAY Jess","269","2","0",NA,"269","4","22","W","U18","C",NA,"26","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+C","2024","World_Record_Status_WA18","1","MCCLELLAND Paul","282","1","282","1","564","25","34","M","50","C",NA,"59","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+C","2024","World_Record_Status_WA18","2","MCCLELLAND Paul","274","2","274","2","548","12","44","M","50","C",NA,"56","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQW50+C","2024","World_Record_Status_WA18","1","BELL Jo-Ann","274","1","275","1","549","14","41","W","50","C",NA,"55","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQW50+C","2024","World_Record_Status_WA18","2","BELL Jo-Ann","272","2","273","2","545","16","34","W","50","C",NA,"50","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQW50+C","2024","World_Record_Status_WA18","3","SHANNON Deidre","262","3","267","3","529","12","30","W","50","C",NA,"42","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQW50+C","2024","World_Record_Status_WA18","4","SHANNON Deidre","258","4","255","4","513","2","36","W","50","C",NA,"38","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWU15C","2024","World_Record_Status_WA18","1","DENVIR Nessa","215","1","190","1","405","7","12","W","U15","C",NA,"19","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWU15C","2024","World_Record_Status_WA18","2","DENVIR Nessa","181","2","184","2","365","4","3","W","U15","C",NA,"7","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMB","2024","World_Record_Status_WA18","1","GORDAN Neil","237","1","234","1","471","8","16","M","","B",NA,"24","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMB","2024","World_Record_Status_WA18","2","DOUGAN Ryan","226","2","233","2","459","6","11","M","","B",NA,"17","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMB","2024","World_Record_Status_WA18","3","MCCANN Ryan","225","3","232","3","457","5","14","M","","B",NA,"19","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMB","2024","World_Record_Status_WA18","4","DOUGAN Ryan","213","5","220","4","433","3","6","M","","B",NA,"9","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMB","2024","World_Record_Status_WA18","5","MCCANN Ryan","223","4","208","5","431","8","9","M","","B",NA,"17","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMB","2024","World_Record_Status_WA18","6","MCBROOM Jordan","164","6","0",NA,"164","0","3","M","","B",NA,"3","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWB","2024","World_Record_Status_WA18","1","COWAN Angela","231","1","218","2","449","3","17","W","","B",NA,"20","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWB","2024","World_Record_Status_WA18","2","COWAN Angela","209","2","239","1","448","4","11","W","","B",NA,"15","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWB","2024","World_Record_Status_WA18","3","CASEMENT Daria","138","5","187","3","325","3","6","W","","B",NA,"9","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWB","2024","World_Record_Status_WA18","4","MCBROOM Ellie-Louise","175","3","123","4","298","4","6","W","","B",NA,"10","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWB","2024","World_Record_Status_WA18","5","CASEMENT Daria","141","4","110","5","251","2","3","W","","B",NA,"5","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWU21B","2024","World_Record_Status_WA18","1","TRIMBLE Alana","136","1","97","1","233","1","4","W","U21","B",NA,"5","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWU21B","2024","World_Record_Status_WA18","2","TRIMBLE Alana","69","2","70","2","139","1","1","W","U21","B",NA,"2","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWU18B","2024","World_Record_Status_WA18","1","TELFER Nova","205","1","219","1","424","6","13","W","U18","B",NA,"19","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWU18B","2024","World_Record_Status_WA18","2","TELFER Nova","184","2","214","2","398","0","6","W","U18","B",NA,"6","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+B","2024","World_Record_Status_WA18","1","TAIT Andy","218","1","200","1","418","1","14","M","50","B",NA,"15","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+B","2024","World_Record_Status_WA18","2","TAIT Andy","189","2","199","2","388","2","8","M","50","B",NA,"10","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+B","2024","World_Record_Status_WA18","3","GILMORE Peter","155","3","167","3","322","6","2","M","50","B",NA,"8","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMU15B","2024","World_Record_Status_WA18","1","TAIT Carson","90","1","116","1","206","1","2","M","U15","B",NA,"3","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQMU15B","2024","World_Record_Status_WA18","2","TAIT Carson","72","2","70","2","142","0","1","M","U15","B",NA,"1","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQWL","2024","World_Record_Status_WA18","1","MCBROOM Sian","49","1","0",NA,"49","0","0","W","","L",NA,"0","WA18"
"1orld_Record_Status_WA18_2024.xlsx","IQM50+L","2024","World_Record_Status_WA18","1","SPENCER Thomas","152","1","167","1","319","4","1","M","50","L",NA,"5","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQMR","2022","Northern_Ireland_Record_Status_WA18","1","LYNESS Andrew","272","1","270","1","542","22","25","M","","R",NA,"47","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQMR","2022","Northern_Ireland_Record_Status_WA18","2","FLECK Philip","267","2","262","2","529","16","22","M","","R",NA,"38","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQMR","2022","Northern_Ireland_Record_Status_WA18","3","MULHOLLAND Stuart","253","3","257","3","510","12","20","M","","R",NA,"32","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWR","2022","Northern_Ireland_Record_Status_WA18","1","MCCREA2 Siri","181","2","234","1","415","7","15","W","","R",NA,"22","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWR","2022","Northern_Ireland_Record_Status_WA18","2","MCCREA Siri","188","1","217","2","405","5","8","W","","R",NA,"13","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWR","2022","Northern_Ireland_Record_Status_WA18","3","GREER Julie","181","3","198","3","379","6","8","W","","R",NA,"14","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWU21R","2022","Northern_Ireland_Record_Status_WA18","1","MCCORMICK Helen","122","1","0",NA,"122","2","2","W","U21","R",NA,"4","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQMU18R","2022","Northern_Ireland_Record_Status_WA18","1","MCKINNEY Ethan","201","1","194","1","395","6","8","M","U18","R",NA,"14","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWU18R","2022","Northern_Ireland_Record_Status_WA18","1","FOSTER Sienna","249","1","255","1","504","10","25","W","U18","R",NA,"35","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWU18R","2022","Northern_Ireland_Record_Status_WA18","2","SEMPLE Zoe","212","2","223","2","435","2","0","W","U18","R",NA,"2","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWU18R","2022","Northern_Ireland_Record_Status_WA18","3","BARKER Evie","197","3","168","3","365","4","10","W","U18","R",NA,"14","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQMU14R","2022","Northern_Ireland_Record_Status_WA18","1","KELLY Zack","208","1","233","1","441","9","9","M","U14","R",NA,"18","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQM50+R","2022","Northern_Ireland_Record_Status_WA18","1","WRIGHT David","264","1","269","1","533","18","23","M","50","R",NA,"41","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQM50+R","2022","Northern_Ireland_Record_Status_WA18","2","BAILE Alasdair","261","2","251","2","512","15","19","M","50","R",NA,"34","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQM50+R","2022","Northern_Ireland_Record_Status_WA18","3","CARMICHAEL Colin","230","3","209","3","439","7","12","M","50","R",NA,"19","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQMC","2022","Northern_Ireland_Record_Status_WA18","1","HALL2 Robert","289","1","287","2","576","38","11","M","","C",NA,"49","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQMC","2022","Northern_Ireland_Record_Status_WA18","2","HALL Robert","284","2","288","1","572","32","28","M","","C",NA,"60","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWC","2022","Northern_Ireland_Record_Status_WA18","1","DIXON Chloe","207","1","218","1","425","4","17","W","","C",NA,"21","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWU18C","2022","Northern_Ireland_Record_Status_WA18","1","BYRNE Sinead","280","1","286","1","566","32","23","W","U18","C",NA,"55","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWU18C","2022","Northern_Ireland_Record_Status_WA18","2","BYRNE2 Sinead","280","2","275","2","555","15","45","W","U18","C",NA,"60","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQM50+C","2022","Northern_Ireland_Record_Status_WA18","1","BANKS Christy","256","1","275","1","531","15","33","M","50","C",NA,"48","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQM50+C","2022","Northern_Ireland_Record_Status_WA18","2","BROWN Robin","218","2","217","2","435","2","20","M","50","C",NA,"22","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQMB","2022","Northern_Ireland_Record_Status_WA18","1","FERGUSON George","208","1","215","1","423","3","12","M","","B",NA,"15","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQMB","2022","Northern_Ireland_Record_Status_WA18","2","MCCANN2 Ryan","204","2","182","2","386","2","8","M","","B",NA,"10","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQMB","2022","Northern_Ireland_Record_Status_WA18","3","MCCANN Ryan","164","3","177","3","341","1","0","M","","B",NA,"1","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWB","2022","Northern_Ireland_Record_Status_WA18","1","SPENCER JoJo","204","1","190","3","394","1","0","W","","B",NA,"1","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWB","2022","Northern_Ireland_Record_Status_WA18","2","KELLY Kay","187","2","191","2","378","3","4","W","","B",NA,"7","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQWB","2022","Northern_Ireland_Record_Status_WA18","3","SPENCER2 JoJo","173","3","200","1","373","3","8","W","","B",NA,"11","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQM50+B","2022","Northern_Ireland_Record_Status_WA18","1","HEADING2 Desmond","208","2","216","1","424","5","0","M","50","B",NA,"5","WA18"
"1orthern_Ireland_Record_St_2022.xlsx","IQM50+B","2022","Northern_Ireland_Record_Status_WA18","2","HEADING Desmond","217","1","207","2","424","3","10","M","50","B",NA,"13","WA18"
